,Unnamed: 0,index,maxAutoCorrelation,numberofTxns,stDevEosSent,numActiveDays,maxTxnsDay,minTxnsDay,avgTxnsPerActiveDays,numTxnsWeekdays,numTxnsWeekends,numActiveDaysWeekdays,numActiveWeekends,numActiveHours,maxTxnsHour,minTxnsHour,txnsPerActiveHour,numActiveHoursWeekdays,numActiveHoursWeekends,label,pred_y
36,36,bradleybruno,0.9830266734134714,31,2.7755575615628914e-17,31,1.0,0.0,1.0,21.0,5.0,21,5,31,1.0,0.0,1.0,21,5,,1.0
37,37,arthuralvaro,0.9830266734134714,31,2.7755575615628914e-17,31,1.0,0.0,1.0,21.0,5.0,21,5,31,1.0,0.0,1.0,21,5,,1.0
38,38,colemansimon,0.9830266734134714,31,2.7755575615628914e-17,31,1.0,0.0,1.0,21.0,5.0,21,5,31,1.0,0.0,1.0,21,5,,1.0
39,39,bryantyshawn,0.9830266734134714,31,2.7755575615628914e-17,31,1.0,0.0,1.0,21.0,5.0,21,5,31,1.0,0.0,1.0,21,5,,1.0
40,40,terrencebeau,0.9830266734134714,31,2.7755575615628914e-17,31,1.0,0.0,1.0,21.0,5.0,21,5,31,1.0,0.0,1.0,21,5,,1.0
41,41,garrettsamir,0.9830266734134714,31,2.7755575615628914e-17,31,1.0,0.0,1.0,21.0,5.0,21,5,31,1.0,0.0,1.0,21,5,,1.0
42,42,addisonjosue,0.9830266734134714,31,2.7755575615628914e-17,31,1.0,0.0,1.0,21.0,5.0,21,5,31,1.0,0.0,1.0,21,5,,1.0
43,43,ariguillermo,0.9613552459211624,31,2.7755575615628914e-17,31,1.0,0.0,1.0,21.0,5.0,21,5,31,1.0,0.0,1.0,21,5,,1.0
44,44,abrahamnigel,0.9830266734134714,31,2.7755575615628914e-17,31,1.0,0.0,1.0,21.0,5.0,21,5,31,1.0,0.0,1.0,21,5,,1.0
45,45,tristinjavon,0.9830266734134714,31,2.7755575615628914e-17,31,1.0,0.0,1.0,21.0,5.0,21,5,31,1.0,0.0,1.0,21,5,,1.0
46,46,alfonsoramon,0.9830266734134714,31,2.7755575615628914e-17,31,1.0,0.0,1.0,21.0,5.0,21,5,31,1.0,0.0,1.0,21,5,,1.0
47,47,louisbrennen,0.9830266734134714,31,2.7755575615628914e-17,31,1.0,0.0,1.0,21.0,5.0,21,5,31,1.0,0.0,1.0,21,5,,1.0
48,48,landenjustus,0.9830266734134714,31,2.7755575615628914e-17,31,1.0,0.0,1.0,21.0,5.0,21,5,31,1.0,0.0,1.0,21,5,,1.0
49,49,jordynchance,0.9830266734134714,31,2.7755575615628914e-17,31,1.0,0.0,1.0,21.0,5.0,21,5,31,1.0,0.0,1.0,21,5,,1.0
50,50,lewiszackary,0.9145472307534604,31,2.7755575615628914e-17,31,1.0,0.0,1.0,21.0,5.0,21,5,31,1.0,0.0,1.0,21,5,,1.0
51,51,sorenenrique,0.9830266734134714,31,2.7755575615628914e-17,31,1.0,0.0,1.0,21.0,5.0,21,5,31,1.0,0.0,1.0,21,5,,1.0
52,52,huntersamson,0.9830266734134714,31,2.7755575615628914e-17,31,1.0,0.0,1.0,21.0,5.0,21,5,31,1.0,0.0,1.0,21,5,,1.0
53,53,josueaddison,0.9830266734134714,31,2.7755575615628914e-17,31,1.0,0.0,1.0,21.0,5.0,21,5,31,1.0,0.0,1.0,21,5,,1.0
54,54,konnerbryson,0.9830266734134714,31,2.7755575615628914e-17,31,1.0,0.0,1.0,21.0,5.0,21,5,31,1.0,0.0,1.0,21,5,,1.0
55,55,gilbertjonas,0.9830266734134714,31,2.7755575615628914e-17,31,1.0,0.0,1.0,21.0,5.0,21,5,31,1.0,0.0,1.0,21,5,,1.0
56,56,cedricarturo,0.9830266734134714,31,2.7755575615628914e-17,31,1.0,0.0,1.0,21.0,5.0,21,5,31,1.0,0.0,1.0,21,5,,1.0
57,57,dravenelliot,0.9830266734134714,31,2.7755575615628914e-17,31,1.0,0.0,1.0,21.0,5.0,21,5,31,1.0,0.0,1.0,21,5,,1.0
58,58,keithmemphis,0.9830266734134714,31,2.7755575615628914e-17,31,1.0,0.0,1.0,21.0,5.0,21,5,31,1.0,0.0,1.0,21,5,,1.0
59,59,charleslyric,0.9830266734134714,31,2.7755575615628914e-17,31,1.0,0.0,1.0,21.0,5.0,21,5,31,1.0,0.0,1.0,21,5,,1.0
60,60,marleyrafael,0.9830266734134714,31,2.7755575615628914e-17,31,1.0,0.0,1.0,21.0,5.0,21,5,31,1.0,0.0,1.0,21,5,,1.0
61,61,brunobradley,0.9830266734134714,31,2.7755575615628914e-17,31,1.0,0.0,1.0,21.0,5.0,21,5,31,1.0,0.0,1.0,21,5,,1.0
62,62,scottrodolfo,0.9830266734134714,31,2.7755575615628914e-17,31,1.0,0.0,1.0,21.0,5.0,21,5,31,1.0,0.0,1.0,21,5,,1.0
63,63,walkerrodney,0.9830266734134714,31,2.7755575615628914e-17,31,1.0,0.0,1.0,21.0,5.0,21,5,31,1.0,0.0,1.0,21,5,,1.0
64,64,sidneydamien,0.9830266734134714,31,2.7755575615628914e-17,31,1.0,0.0,1.0,21.0,5.0,21,5,31,1.0,0.0,1.0,21,5,,1.0
